"Time","Fenêtre Evier"
2020-09-20 17:46:39,0
2020-09-21 08:46:28,0
2020-09-21 08:46:28,0
2020-09-21 13:19:55,0
2020-09-21 14:17:47,1
2020-09-21 19:26:18,0
2020-09-21 19:26:18,0
2020-09-22 08:15:15,0
2020-09-22 08:15:15,0
2020-09-22 12:46:23,0
2020-09-23 09:09:48,0
2020-09-23 09:09:48,0
2020-09-23 11:08:15,0
2020-09-23 15:19:23,1
2020-09-23 20:10:06,0
2020-09-23 20:10:06,0
2020-09-24 09:28:40,1
2020-09-24 11:40:09,0
2020-09-24 11:40:09,0
2020-09-24 14:40:25,0
2020-09-24 14:40:25,0
2020-09-24 15:45:45,0
2020-09-25 10:23:48,0
2020-09-25 10:23:48,0
2020-09-25 11:37:37,0
2020-09-27 12:19:54,1
2020-09-27 12:42:42,0
2020-09-27 12:42:42,0
2020-09-29 11:41:36,1
2020-09-29 13:03:57,0
2020-09-29 13:03:57,0
2020-09-30 15:04:36,1
2020-09-30 16:30:46,0
2020-09-30 16:30:46,0
2020-10-01 07:14:55,0
2020-10-01 07:14:55,0
2020-10-01 11:26:18,0
2020-10-01 15:33:57,1
2020-10-01 15:41:08,0
2020-10-01 15:41:08,0
2020-10-02 12:49:05,1
2020-10-02 13:27:14,0
2020-10-02 13:27:15,0
2020-10-03 11:23:45,1
2020-10-03 12:21:53,0
2020-10-03 12:21:53,0
2020-10-03 15:44:16,0
2020-10-03 15:44:16,0
2020-10-03 18:16:07,0
2020-10-05 07:37:29,1
2020-10-05 07:37:39,0
2020-10-05 07:37:39,0
2020-10-06 07:52:32,0
2020-10-06 07:52:32,0
2020-10-06 08:40:20,0
2020-10-06 14:23:13,0
2020-10-06 14:23:13,0
2020-10-07 14:58:10,1
2020-10-07 16:17:22,0
2020-10-07 16:17:22,0
2020-10-08 13:30:41,1
2020-10-08 13:30:41,1
2020-10-08 15:06:07,0
2020-10-08 15:06:07,0
2020-10-09 09:44:48,1
